regimen_id,regimen_name,regimen_category,n_events,n_mechanisms,mechanisms,first_start_hour,last_start_hour,complexity_penalty,events_json,baseline_resistance_probability,counterfactual_resistance_probability,resistance_risk_reduction,baseline_tumor_viability,counterfactual_tumor_viability,tumor_viability_reduction,apoptosis_gain,antigen_presentation_gain,immune_exclusion_reduction,normal_cell_toxicity,therapeutic_index,mechanistic_synergy,mean_effective_intensity,extrapolation_score,extrapolation_flag,utility,n_reference_rows,n_reference_donors,pareto_optimal,bootstrap_successful_replicates,counterfactual_resistance_probability_bootstrap_mean,counterfactual_resistance_probability_ci_low,counterfactual_resistance_probability_ci_high,resistance_risk_reduction_bootstrap_mean,resistance_risk_reduction_ci_low,resistance_risk_reduction_ci_high,normal_cell_toxicity_bootstrap_mean,normal_cell_toxicity_ci_low,normal_cell_toxicity_ci_high,utility_bootstrap_mean,utility_ci_low,utility_ci_high,utility_interval_width,uncertainty_adjusted_utility,rank
GENE__XBP1_CRISPRI,XBP1 CRISPRi at 24 h,gene,1,1,IRE1-XBP1 proteostasis,24.0,24.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.14823099399110023,0.20559140499181194,0.9946774412690215,0.9504321525516889,0.044245288717332576,0.06248671557872514,0.03493190607862673,0.0,0.09261351001363871,1.676743492368364,0.0,0.634269913367124,0.008241758241758242,False,0.08170112836779268,91,8,True,20,0.15796483285423144,0.041566454426210875,0.3181766521587073,0.19865393404409562,0.1604279893907355,0.23409521151807763,0.09260551799585647,0.09252379398128613,0.09268183980447268,0.07857959570347234,0.06146537640074577,0.09435371143973664,0.03288833503899087,0.07775452816311378,1
TIMING__XBP1_CRISPRI__T24,XBP1 CRISPRi at 24 h,timing,1,1,IRE1-XBP1 proteostasis,24.0,24.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.14823099399110023,0.20559140499181194,0.9946774412690215,0.9504321525516889,0.044245288717332576,0.06248671557872514,0.03493190607862673,0.0,0.09261351001363871,1.676743492368364,0.0,0.634269913367124,0.008241758241758242,False,0.08170112836779268,91,8,True,20,0.15796483285423144,0.041566454426210875,0.3181766521587073,0.19865393404409562,0.1604279893907355,0.23409521151807763,0.09260551799585647,0.09252379398128613,0.09268183980447268,0.07857959570347234,0.06146537640074577,0.09435371143973664,0.03288833503899087,0.07775452816311378,2
TIMING__XBP1_CRISPRI__T0,XBP1 CRISPRi at 0 h,timing,1,1,IRE1-XBP1 proteostasis,0.0,0.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 0.0}]",0.3538223989829122,0.16528730362699573,0.18853509535591645,0.9946774412690215,0.9552210986812675,0.03945634258775399,0.055723384987018725,0.031151005981380653,0.0,0.082568962485573,1.674840837056479,0.0,0.5656188878052141,0.005494505494505495,False,0.07535090190967349,91,8,True,20,0.17398016739828337,0.052632403001235145,0.33626828228846767,0.18263859950004374,0.14459207813422814,0.2154524873606863,0.08256183725496301,0.08248897675013779,0.08262988145878959,0.0727013064352438,0.055752771389404314,0.08746576006505265,0.03171298867564833,0.07154534326859568,3
TIMING__XBP1_CRISPRI__T48,XBP1 CRISPRi at 48 h,timing,1,1,IRE1-XBP1 proteostasis,48.0,48.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 48.0}]",0.3538223989829122,0.16546019886549612,0.18836220011741606,0.9946774412690215,0.9552678272830328,0.039409613985988634,0.05565739113925428,0.03111411348558335,0.0,0.082568962485573,1.6733049320016327,0.0,0.5649490188303985,0.005494505494505495,False,0.07525448125077203,91,8,False,20,0.17414271714381604,0.052750767959415294,0.33644690963939783,0.18247604975451107,0.14443389183771102,0.21526210850122196,0.08256183725496301,0.08248897675013779,0.08262988145878959,0.07260955254549557,0.05566312281783469,0.08736141198709897,0.03169828916926428,0.07145068655046032,4
COMBO__PGC1A_CRISPRI__XBP1_CRISPRI,PGC1A CRISPRi + XBP1 CRISPRi,combination,2,2,IRE1-XBP1 proteostasis;Mitochondrial reserve,24.0,24.0,0.04,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""PGC1A_CRISPRI"", ""intervention_name"": ""PGC1A CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""Mitochondrial reserve"", ""sequence_position"": 1, ""start_hour"": 24.0}, {""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.042570508211543186,0.311251890771369,0.9946774412690215,0.8818657133447193,0.11281172792430216,0.15055136812841943,0.0419182872943521,0.0,0.21962504142192094,1.2468776730027065,0.2,0.6909339884778193,0.02197802197802198,False,0.07159734875578887,91,8,True,20,0.04902013567685438,0.005493105927721091,0.11757572503760347,0.3075986312214727,0.24213134690406962,0.39938029186807456,0.21961966087127846,0.21948175670485734,0.21974738893570556,0.07000523442271286,0.04046202593368073,0.11148720222873033,0.0710251762950496,0.06307432760038291,5
COMBO__HLA1_CRISPRA__XBP1_CRISPRI,HLA-I CRISPRa + XBP1 CRISPRi,combination,2,2,Antigen presentation;IRE1-XBP1 proteostasis,24.0,24.0,0.04,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""HLA1_CRISPRA"", ""intervention_name"": ""HLA-I CRISPRa"", ""intervention_type"": ""gene"", ""mechanism"": ""Antigen presentation"", ""sequence_position"": 1, ""start_hour"": 24.0}, {""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.1203870893402245,0.23343530964268766,0.9946774412690215,0.9442378121312622,0.050439629137759234,0.08987458569077836,0.17793588547117378,0.05480016444524949,0.1391519673410536,1.380033075063339,0.14,0.6097001862247071,0.015567765567765568,False,0.06258337424776673,91,8,True,20,0.13162855330692155,0.030470477579775532,0.2785724108249431,0.22499021359140556,0.16830640703533178,0.27876343236640555,0.13914292092551905,0.13904411708011052,0.13923725102768106,0.058668400322163125,0.03231082485567684,0.08330964363650463,0.05099881878082779,0.056463515994067404,6
TIMING__XBP1_CRISPRI__T72,XBP1 CRISPRi at 72 h,timing,1,1,IRE1-XBP1 proteostasis,72.0,72.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 72.0}]",0.3538223989829122,0.2078032758230016,0.14601912315991059,0.9946774412690215,0.9658391690992275,0.028838272169793955,0.040727701481804636,0.022767979238216385,0.0,0.06063629580003904,1.6110446909928515,0.0,0.4134055607061134,0.0018315018315018315,False,0.05886105946253519,91,8,True,20,0.21413969976368225,0.08550520836960952,0.3777794240741948,0.1424790671346448,0.10766692507691607,0.17471475997852717,0.0606310632334922,0.06057755655265566,0.06068103295996693,0.05723939155201977,0.04160261767836672,0.07179768923044155,0.030195071552074834,0.05523765087628621,7
TIMING__PGC1A_CRISPRI__T48,PGC1A CRISPRi at 48 h,timing,1,1,Mitochondrial reserve,48.0,48.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""PGC1A_CRISPRI"", ""intervention_name"": ""PGC1A CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""Mitochondrial reserve"", ""sequence_position"": 1, ""start_hour"": 48.0}]",0.3538223989829122,0.18329840466340594,0.17052399431950624,0.9946774412690215,0.9384610597902231,0.05621638147879837,0.07224785280808374,0.0,0.0,0.12281378283670863,1.1158940715558499,0.0,0.564115464286299,0.007326007326007326,False,0.05640778156547445,91,8,False,20,0.18432465559990904,0.10704643910672115,0.27947711762118926,0.17229411129841798,0.1288675475029153,0.2295447336253343,0.12281584739705569,0.12271854886338344,0.12290387618052329,0.05734321815403174,0.037630417929532214,0.08316668267521946,0.04553626474568724,0.05094342979599198,8
GENE__PGC1A_CRISPRI,PGC1A CRISPRi at 24 h,gene,1,1,Mitochondrial reserve,24.0,24.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""PGC1A_CRISPRI"", ""intervention_name"": ""PGC1A CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""Mitochondrial reserve"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.19502400896119937,0.1587983900217128,0.9946774412690215,0.9431277316459247,0.051549709623096795,0.0662503657328708,0.0,0.0,0.11242346291690497,1.114973521703805,0.0,0.5172867340959082,0.005494505494505495,False,0.05297517652654785,91,8,False,20,0.19618376116715805,0.11600549976354732,0.2958703546896677,0.16043500573116903,0.12018321183740449,0.21293872822749518,0.11242535281084245,0.11233628595010821,0.11250593416291228,0.05378567158366395,0.03555765354244401,0.07750835437712825,0.04195070083468424,0.047941092426385744,9
TIMING__PGC1A_CRISPRI__T24,PGC1A CRISPRi at 24 h,timing,1,1,Mitochondrial reserve,24.0,24.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""PGC1A_CRISPRI"", ""intervention_name"": ""PGC1A CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""Mitochondrial reserve"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.19502400896119937,0.1587983900217128,0.9946774412690215,0.9431277316459247,0.051549709623096795,0.0662503657328708,0.0,0.0,0.11242346291690497,1.114973521703805,0.0,0.5172867340959082,0.005494505494505495,False,0.05297517652654785,91,8,False,20,0.19618376116715805,0.11600549976354732,0.2958703546896677,0.16043500573116903,0.12018321183740449,0.21293872822749518,0.11242535281084245,0.11233628595010821,0.11250593416291228,0.05378567158366395,0.03555765354244401,0.07750835437712825,0.04195070083468424,0.047941092426385744,10
TIMING__PGC1A_CRISPRI__T72,PGC1A CRISPRi at 72 h,timing,1,1,Mitochondrial reserve,72.0,72.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""PGC1A_CRISPRI"", ""intervention_name"": ""PGC1A CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""Mitochondrial reserve"", ""sequence_position"": 1, ""start_hour"": 72.0}]",0.3538223989829122,0.1960153924274726,0.15780700655543958,0.9946774412690215,0.9435137746491697,0.05116366661985172,0.0657542331583009,0.0,0.0,0.11242346291690497,1.1080127060771576,0.0,0.5134129019088879,0.005494505494505495,False,0.05241161160728975,91,8,False,20,0.19718645740350554,0.11677291586801972,0.2972460951069039,0.15943230949482157,0.1194483141229212,0.21153913292520374,0.11242535281084245,0.11233628595010821,0.11250593416291228,0.053217059346654175,0.03510954516999304,0.07676108908106669,0.041651543911073646,0.04741342633796091,11
TIMING__PGC1A_CRISPRI__T0,PGC1A CRISPRi at 0 h,timing,1,1,Mitochondrial reserve,0.0,0.0,0.0,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""PGC1A_CRISPRI"", ""intervention_name"": ""PGC1A CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""Mitochondrial reserve"", ""sequence_position"": 1, ""start_hour"": 0.0}]",0.3538223989829122,0.22500964928725828,0.1288127496956539,0.9946774412690215,0.9542960084438715,0.04038143282514994,0.05189718260381534,0.0,0.0,0.08802089299682048,1.0914402223606643,0.0,0.40521623995483613,0.003663003663003663,False,0.04355130600718815,91,8,False,20,0.2265123180148886,0.13990141035466372,0.3369375751225814,0.13010644888343847,0.09789855540649615,0.17093485577344716,0.08802237267150526,0.08795263861052859,0.08808546308327558,0.04416877328285487,0.02955392932314302,0.06252976007435307,0.03297583075121005,0.03959420631704295,12
COMBO__ATF4_CRISPRI__XBP1_CRISPRI,ATF4 CRISPRi + XBP1 CRISPRi,combination,2,2,IRE1-XBP1 proteostasis;Integrated stress response,24.0,24.0,0.04,"[{""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""ATF4_CRISPRI"", ""intervention_name"": ""ATF4 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""Integrated stress response"", ""sequence_position"": 1, ""start_hour"": 24.0}, {""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.07578643875481064,0.2780359602281015,0.9946774412690215,0.8937713319908842,0.10090610927813726,0.13654076283690605,0.037726458564916854,0.0,0.2311860910124369,1.0645128886854174,0.08,0.648175181507642,0.04945054945054945,False,0.047097764631511656,91,8,False,20,0.07893432380698936,0.007458830512157347,0.1611361169472119,0.2776844430913378,0.2074779909950609,0.35681094296794474,0.2311724236996587,0.23099676367492963,0.23133331122564338,0.04721523997856121,0.01603971747880443,0.08223337134658115,0.06619365386777673,0.039154526167378446,13
COMBO__KRASI__XBP1_CRISPRI,KRAS-pathway inhibitor + XBP1 CRISPRi,combination,2,2,IRE1-XBP1 proteostasis;Oncogenic survival,24.0,24.0,0.04,"[{""dose"": 1.0, ""duration_hours"": 24.0, ""intervention_id"": ""KRASI"", ""intervention_name"": ""KRAS-pathway inhibitor"", ""intervention_type"": ""drug"", ""mechanism"": ""Oncogenic survival"", ""sequence_position"": 1, ""start_hour"": 24.0}, {""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.10689467112261408,0.2469277278602981,0.9946774412690215,0.9184943917663435,0.07618304950267796,0.09796656344678004,0.037027820443344406,0.0,0.18100475072121178,1.1702472433265223,0.06,0.4203629799327449,0.008241758241758242,False,0.043042938744779706,91,8,True,20,0.1164365819076711,0.019973943892121336,0.2502193555798065,0.24018218499065597,0.19797714972524735,0.2867522874861336,0.18100292947137236,0.1809018902013158,0.18110994202583613,0.039866131754750476,0.020590455766302543,0.060637314230690714,0.04004685846438817,0.038237315729053124,14
COMBO__IFNG_SUPPORT__XBP1_CRISPRI,IFNG antigen-presentation support + XBP1 CRISPRi,combination,2,2,Antigen presentation;IRE1-XBP1 proteostasis,24.0,24.0,0.04,"[{""dose"": 1.0, ""duration_hours"": 36.0, ""intervention_id"": ""IFNG_SUPPORT"", ""intervention_name"": ""IFNG antigen-presentation support"", ""intervention_type"": ""drug"", ""mechanism"": ""Antigen presentation"", ""sequence_position"": 1, ""start_hour"": 24.0}, {""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.12686987390419116,0.22695252507872102,0.9946774412690215,0.9442378121312622,0.050439629137759234,0.07589213655332033,0.06775801158053163,0.0115803521049955,0.1476704986772158,1.2773787813307076,0.14,0.42354013036168503,0.011904761904761904,False,0.04125033581339387,91,8,False,20,0.1378954494250425,0.030123449191283992,0.2926161850727998,0.2187233174732846,0.176128312366004,0.2591205539614915,0.14766103524387175,0.14755491113869307,0.14776248768588146,0.037502167075452536,0.018284477264755725,0.05575108175137736,0.03746660448662163,0.036754343274999275,15
COMBO__MITORESERVEI__XBP1_CRISPRI,Mitochondrial-reserve inhibitor + XBP1 CRISPRi,combination,2,2,IRE1-XBP1 proteostasis;Mitochondrial reserve,24.0,24.0,0.04,"[{""dose"": 1.0, ""duration_hours"": 18.0, ""intervention_id"": ""MITORESERVEI"", ""intervention_name"": ""Mitochondrial-reserve inhibitor"", ""intervention_type"": ""drug"", ""mechanism"": ""Mitochondrial reserve"", ""sequence_position"": 1, ""start_hour"": 24.0}, {""dose"": 1.0, ""duration_hours"": 168.0, ""intervention_id"": ""XBP1_CRISPRI"", ""intervention_name"": ""XBP1 CRISPRi"", ""intervention_type"": ""gene"", ""mechanism"": ""IRE1-XBP1 proteostasis"", ""sequence_position"": 1, ""start_hour"": 24.0}]",0.3538223989829122,0.09492617125047782,0.25889622773243437,0.9946774412690215,0.9254913203805597,0.06918612088846177,0.094563658013854,0.0419182872943521,0.0,0.2086741648862581,1.0847266517338114,0.2,0.4502574138586512,0.014652014652014652,False,0.03864627766592381,91,8,True,20,0.10560469428154282,0.017692194963331572,0.2371745754549494,0.25101407261678427,0.2074622321266063,0.2974784646675865,0.20867415645616308,0.2085809648115976,0.20876961026085394,0.03502115874617869,0.014965823377772598,0.05587801379702452,0.040912190419251926,0.03373681481561358,16
