cell_type,time_days,aggregate_burden,neurite_integrity,mitochondrial_potential,inflammatory_program,synaptic_program,firing_rate_hz,spontaneous_epsc_rate_hz,probability_homeostatic,probability_compensated_stress,probability_adaptive_glial_response,probability_maladaptive_inflammation,probability_synaptic_dysfunction,probability_irreversible_degeneration
astrocyte,0.0,0.2208099125863164,0.582754373420605,0.6902369786460809,0.32358601090515604,0.5840016611529367,,,0.4795763052662071,0.0015683806139023258,0.051248930671867685,0.4624281081613704,0.005169008372342726,9.266914309715777e-06
astrocyte,7.0,0.24608826197236608,0.5529207205462149,0.65463449566082,0.3640957250183832,0.5477782747589609,,,0.42828090345619013,0.0007077168483280332,0.07956304398357261,0.4872996971483357,0.0040667323945531185,8.190616902034968e-05
astrocyte,21.0,0.3724090456385313,0.4281428134562952,0.5066040133826979,0.49842257545567953,0.43065718248148144,,,0.11462031224288645,0.0014442383852677537,0.3410451822759053,0.48420525613498544,0.002906169805220143,0.05577884115573489
astrocyte,42.0,0.6656001311474689,0.2139793361578431,0.26597237494448067,0.8073386747930508,0.2610510334779193,,,2.029763910894069e-11,3.6369520778275925e-06,0.0003572693426812883,0.4767157025563048,0.007500712517527085,0.5154226786111114
excitatory_neuron,0.0,0.30048085747468606,0.5413191143233638,0.627728215986567,0.25243041097514324,0.6214863607011629,5.017408906675995,4.646588480856383,0.3916484040233979,0.1123327925618477,0.0012520495213120503,0.00663754365192382,0.4881289791414764,2.3110004208605727e-07
excitatory_neuron,7.0,0.33564806166013683,0.5232041064375216,0.598658665595238,0.28382491772820806,0.6065592144007449,4.961581569372072,4.4477630543698705,0.29796390164146863,0.20220440919977287,0.0006455533870023597,0.0034452105086519584,0.49574061468034747,3.1058275674228235e-07
excitatory_neuron,21.0,0.4743852867112486,0.3858488392778149,0.45271159818918044,0.4278950756687823,0.4769697929227846,3.793276639626364,3.719765254022825,0.021018125603582904,0.2908276810642582,0.00123157080906075,0.002502856064388441,0.6844159858760825,3.780582627130827e-06
excitatory_neuron,42.0,0.7568725601646282,0.1933960939142525,0.23670270931827786,0.7350752671626318,0.3277813810755841,1.7923660902049714,2.630496556713107,1.0011532933137706e-12,1.3625632128886657e-06,5.543230498347909e-06,0.003178917591832125,0.994411588862595,0.0024025877508605234
inhibitory_neuron,0.0,0.3057335365762264,0.5708783573713918,0.6543874804155234,0.25237510957105297,0.6483006565939812,5.350404763825536,4.7349111618682365,0.4485355243546167,0.06652120268400279,0.001727923837374753,0.006457860513727942,0.4767569266317357,5.619785421138246e-07
inhibitory_neuron,7.0,0.33939683059337117,0.5298694269088454,0.6086055201588209,0.2882891455918489,0.6164446250092208,5.05498214817341,4.451365370958042,0.36775406107000774,0.13632994075978455,0.0009397081548129323,0.0067747317139937625,0.48820103683135496,5.2147004604747e-07
inhibitory_neuron,21.0,0.47338992065598595,0.40397625926990066,0.47719557919070704,0.4278816260862371,0.4981127706809013,3.822167655127611,3.859507657472079,0.048127634581446165,0.34382178180366163,0.0023857009716181246,0.001970957659249424,0.6036892796201778,4.645363846863991e-06
inhibitory_neuron,42.0,0.7663356826180878,0.20260006215650891,0.24389571122454093,0.7446578461036555,0.3377796755951162,2.0811528639852153,2.757868485284901,1.1237873998207402e-12,3.712849511578785e-06,6.988868781848225e-06,0.0038877518250027727,0.9921126565726527,0.003988889882927293
microglia,0.0,0.22531327286986097,0.5336211598454301,0.6540754949313671,0.4302748640249967,0.5273951686088271,,,0.37772690095025013,0.0009991149516097107,0.12204346280210696,0.4961777516837927,0.0023041323159252447,0.0007486372963152664
microglia,7.0,0.2616750279799497,0.5080257845987051,0.614044256293863,0.4607309277893596,0.4999655406184394,,,0.3138738832527864,0.001096591294211156,0.18214030294836678,0.49667449882785386,0.0024168991140484527,0.0037978245627332545
microglia,21.0,0.38388513314866385,0.3858386291176391,0.4768073733143761,0.6094414027362436,0.391157850480497,,,0.04085533605666202,0.0013931407317633615,0.23735920889492887,0.39564908474954685,0.004250034239919203,0.32049319532717974
microglia,42.0,0.6892119243085965,0.18942732605280427,0.24479850036750145,0.87607041584243,0.22871489262968683,,,1.1537369777247594e-12,1.4931795440013099e-07,1.2046378451303854e-05,0.34869439401839686,0.00413420448855312,0.6471592057954906
oligodendrocyte,0.0,0.2236403285404533,0.5940084875703484,0.6828405958194996,0.24645516827280206,0.5755320521560735,,,0.4827519703582859,0.001481160400017898,0.06204401019062236,0.4486382591067078,0.0050815187763324846,3.0811680336068443e-06
oligodendrocyte,7.0,0.2535073755807919,0.5635839767930235,0.6579743934939253,0.2817360044373985,0.5590723164690924,,,0.4423390771821704,0.0006865525088892605,0.06878860094293866,0.48363463607842244,0.004537649007471955,1.3484280107233327e-05
oligodendrocyte,21.0,0.3698958660739794,0.42954068196167283,0.5145446493381729,0.4214902451014668,0.43259528517487,,,0.10729559784659239,0.0014095067425989377,0.3562009295470999,0.5160938066575053,0.00296811587739855,0.01603204332880495
oligodendrocyte,42.0,0.6815576395049691,0.22641007248838058,0.2670256268750347,0.7360706922624923,0.26774917899994843,,,4.8193736084529395e-11,6.5314067025649776e-06,0.0007378014662533577,0.5082410255997298,0.005707307441311582,0.48530733403780896
