held_out_donor,n_test,accuracy,multiclass_log_loss,donor_overlap,metric_type,roc_auc,log_loss
ND01,320,0.965625,0.09251856895800578,,state_model,,
ND02,320,0.98125,0.04812440593267744,,state_model,,
ND03,320,0.990625,0.034907601322200166,,state_model,,
ND04,320,0.878125,0.2532076241743871,,state_model,,
ND05,320,0.8375,0.47186502135995195,,state_model,,
ND06,320,0.8625,0.33333666171224363,,state_model,,
ND07,320,0.996875,0.02486885358913024,,state_model,,
ND08,320,0.91875,0.22046918218122352,,state_model,,
ND01,240,,,,degeneration_risk,,0.00298599992099426
ND02,240,,,,degeneration_risk,0.8358518518518518,0.16539903110765206
ND03,240,,,,degeneration_risk,0.9788011695906432,0.10355434175204119
ND04,240,,,,degeneration_risk,,0.011692032870013736
ND05,240,,,,degeneration_risk,0.7907021604938271,0.3350391308015015
ND06,240,,,,degeneration_risk,0.9437321937321937,0.08981841126329931
ND07,240,,,,degeneration_risk,0.814429012345679,0.2695550761619708
ND08,240,,,,degeneration_risk,,0.000803297333520407
overall,1920,,,,degeneration_risk,0.9871962252914633,0.12235591515137417
