row_id,donor_id,sample_id,lineage_id,time_hours,cell_type,state,therapy,ire1_inhibition,mitochondrial_inhibition,ifng_support,mutation_burden,treatment_stress,ire1_xbp1,proteostasis_capacity,enhancer_plasticity,mitochondrial_reserve,antigen_presentation,immune_exclusion,inflammatory_signaling,viability,apoptosis_signal,resistance_score,future_resistant
D01_T001_000,D01,D01_standard_plus_mitoi_000,D01_T001,0.0,tumor,early_stress,standard_plus_mitoi,0.0,1.0,0.0,0.1365428566296289,0.1064066525224142,0.3743852188267046,0.4067022877629188,0.481830715318117,0.7435381522138311,0.4634533727621557,0.034581426775657,0.1412667111961387,0.973407267840179,0.0,0.3788667074793501,0
D01_T001_024,D01,D01_standard_plus_mitoi_024,D01_T001,24.0,tumor,early_stress,standard_plus_mitoi,0.0,1.0,0.0,0.1365428566296289,0.3559184253206909,0.4131898746115126,0.4287831892818832,0.5195562257517059,0.7396274964632112,0.4415955120937281,0.1606393740906161,0.2456652271982026,1.0,0.0,0.4281999680889853,0
D01_T001_072,D01,D01_standard_plus_mitoi_072,D01_T001,72.0,tumor,reversible_tolerance,standard_plus_mitoi,0.0,1.0,0.0,0.1365428566296289,0.6540553276148721,0.6892319508119926,0.6439040904582758,0.713479735806031,0.5317661000358855,0.1735300445317085,0.4907471809817775,0.5163390843128972,0.9451518296109308,0.166967951061618,0.5945847802284526,0
D01_T001_168,D01,D01_standard_plus_mitoi_168,D01_T001,168.0,tumor,reversible_tolerance,standard_plus_mitoi,0.0,1.0,0.0,0.1365428566296289,0.8896246706265671,0.7412812488585785,0.6778724181612378,0.753181947674951,0.5172856168153014,0.2321635535448245,0.5579716863208837,0.5809613916356257,0.9166323651652936,0.2725868697401897,0.6390384741471542,0
D01_standard_plus_ifng_000_macrophage_000,D01,D01_standard_plus_ifng_000,D01_standard_plus_ifng_macrophage_000,0.0,macrophage,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.0826545388628256,0.2540969136398954,0.4161131362241236,0.3077990220478227,0.6331576034164942,0.4508195062857414,0.2758867099444443,0.4869530150257178,0.6013564863079488,0.2595402169912763,0.3229084018037878,0
D01_standard_plus_ifng_024_macrophage_000,D01,D01_standard_plus_ifng_024,D01_standard_plus_ifng_macrophage_000,24.0,macrophage,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.2245960151412157,0.166109923694804,0.4838704263897229,0.2376494611193204,0.4496552858025905,0.4306828401076949,0.4170645756204745,0.4189246388355824,0.8253259610729863,0.1424317323137212,0.413477761829953,0
D01_standard_plus_ifng_072_macrophage_000,D01,D01_standard_plus_ifng_072,D01_standard_plus_ifng_macrophage_000,72.0,macrophage,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.3651415133636335,0.1910744054447236,0.4242145624547154,0.351832034885694,0.5504301435794215,0.6269751206974751,0.3399626381397133,0.4312468157621976,0.6870509758733122,0.1686232531948935,0.5532353323113662,0
D01_standard_plus_ifng_168_macrophage_000,D01,D01_standard_plus_ifng_168,D01_standard_plus_ifng_macrophage_000,168.0,macrophage,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.8774622600097777,0.3737538187603171,0.5282437649344829,0.429489393562756,0.6716531129500374,0.4980539870275287,0.2815237618971932,0.610051102863752,0.5499447316882591,0.4021584510244743,0.642816097986881,0
D01_standard_plus_ifng_000_dendritic_cell_000,D01,D01_standard_plus_ifng_000,D01_standard_plus_ifng_dendritic_cell_000,0.0,dendritic_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.1112390523797526,0.1551929989556734,0.4184910656320976,0.2045315592846058,0.4576714062052004,0.659492984344485,0.2218000056363724,0.2301780482378887,0.7923855153388744,0.2001806539976166,0.3229084018037878,0
D01_standard_plus_ifng_024_dendritic_cell_000,D01,D01_standard_plus_ifng_024,D01_standard_plus_ifng_dendritic_cell_000,24.0,dendritic_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.2483158726005523,0.3058389483112859,0.4670403881034733,0.266238240707335,0.4997193615428243,0.7404043139276004,0.1497379358198111,0.391488904525221,0.8077986931517757,0.2209926725370735,0.413477761829953,0
D01_standard_plus_ifng_072_dendritic_cell_000,D01,D01_standard_plus_ifng_072,D01_standard_plus_ifng_dendritic_cell_000,72.0,dendritic_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.441124851333867,0.3319343330272493,0.4647769923485211,0.3869614864257885,0.6394564753220909,0.8393685955788286,0.2017116322749697,0.2833349626452563,0.7135268504354111,0.2552828670779293,0.5532353323113662,0
D01_standard_plus_ifng_168_dendritic_cell_000,D01,D01_standard_plus_ifng_168,D01_standard_plus_ifng_dendritic_cell_000,168.0,dendritic_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.8348470912223565,0.3820099678117527,0.4794370885326253,0.2652557174618422,0.6055815213102121,0.5818469771382702,0.3959722486699595,0.435308959786121,0.6680051173836753,0.3940384260625088,0.642816097986881,0
D01_standard_plus_ifng_000_t_cell_000,D01,D01_standard_plus_ifng_000,D01_standard_plus_ifng_t_cell_000,0.0,t_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.1459805946690705,0.197083239620076,0.4879645352267814,0.2273576927349765,0.5251091554260526,0.6340650249439905,0.1867814758772609,0.373204133154965,0.7699496351313609,0.0612862642825638,0.3229084018037878,0
D01_standard_plus_ifng_024_t_cell_000,D01,D01_standard_plus_ifng_024,D01_standard_plus_ifng_t_cell_000,24.0,t_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.2133835571433675,0.2424588556159221,0.4925061252959576,0.3261783472318789,0.6025820873812908,0.6511961565325057,0.1358098189644412,0.2795211720321095,0.8310134553566753,0.0883547728462896,0.413477761829953,0
D01_standard_plus_ifng_072_t_cell_000,D01,D01_standard_plus_ifng_072,D01_standard_plus_ifng_t_cell_000,72.0,t_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.4177431208429694,0.4110279643114823,0.4965285116599472,0.2737482227921959,0.5945230675546163,0.6555729188946788,0.1903045683992148,0.3443248707569885,0.803491286769713,0.2493964228673293,0.5532353323113662,0
D01_standard_plus_ifng_168_t_cell_000,D01,D01_standard_plus_ifng_168,D01_standard_plus_ifng_t_cell_000,168.0,t_cell,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.8776856356325619,0.2722607855033713,0.7388742789465239,0.4086924062790413,0.6425732283946033,0.6704740540254701,0.4413768996216716,0.5309463299443924,0.6790067867696798,0.2884394726967546,0.642816097986881,0
D01_standard_plus_ifng_000_fibroblast_000,D01,D01_standard_plus_ifng_000,D01_standard_plus_ifng_fibroblast_000,0.0,fibroblast,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.1138951475876714,0.2313308694903307,0.5579758150784646,0.2884960822233491,0.5924487003038883,0.617737022893931,0.336215907273598,0.3000291506789496,0.7457495512635461,0.2368639845253408,0.3229084018037878,0
D01_standard_plus_ifng_024_fibroblast_000,D01,D01_standard_plus_ifng_024,D01_standard_plus_ifng_fibroblast_000,24.0,fibroblast,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.1805430880561524,0.2085079295440496,0.4170882991649821,0.180644771042729,0.5880239482634516,0.4657934546751879,0.2879547512725302,0.4290458901057011,0.7654737952789981,0.2101109193356632,0.413477761829953,0
D01_standard_plus_ifng_072_fibroblast_000,D01,D01_standard_plus_ifng_072,D01_standard_plus_ifng_fibroblast_000,72.0,fibroblast,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.4118663907522182,0.2055888914454396,0.5163928524220324,0.2147661009807606,0.5027783891523453,0.4305717537604937,0.3939997578186744,0.4128667559265158,0.6051311655644623,0.2295823828257955,0.5532353323113662,0
D01_standard_plus_ifng_168_fibroblast_000,D01,D01_standard_plus_ifng_168,D01_standard_plus_ifng_fibroblast_000,168.0,fibroblast,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.8240906331193039,0.3847045784257394,0.4798384460858783,0.2883837869603489,0.6001557025962551,0.5841762982795295,0.4247022005491581,0.3474166208848167,0.6454273636307876,0.26789740399305,0.642816097986881,0
D01_standard_plus_ifng_000_vascular_000,D01,D01_standard_plus_ifng_000,D01_standard_plus_ifng_vascular_000,0.0,vascular,responsive_niche,standard_plus_ifng,0.0,0.0,1.0,0.0,0.1382943091224615,0.2924952654443033,0.5751736885788283,0.1388927058257209,0.6296853279838781,0.718848565078972,0.2656999415302351,0.3074733280770068,0.7463793695886897,0.1166173798635184,0.3229084018037878,0
