representation,evaluation,split,future_state_rmse,future_state_r2,intervention_effect_rmse,intervention_effect_r2,cell_type_accuracy
NoPretrainingMatched,frozen_encoder,standard,0.5160498081953929,0.7962315061134747,0.382914109209307,0.33106269603511235,0.5944444444444444
NoPretrainingMatched,linear_probe,standard,0.5160498081953929,0.7962315061134747,0.382914109209307,0.33106269603511235,0.5944444444444444
NoPretrainingMatched,peft,standard,0.5174475391966515,0.7951261893476139,0.38117008548052234,0.33714231390966753,0.5944444444444444
NoPretrainingMatched,full_finetune,standard,0.28092894652362005,0.9396125383447671,0.3807469786674447,0.3386130691222798,0.5944444444444444
NoPretrainingMatched,zero_shot,standard,0.7126336039378555,0.6114146709442139,0.39587334589587025,0.2850179076194763,0.5944444444444444
PCAPretraining,frozen_encoder,standard,0.28217341572707233,0.9390764236450195,0.3686685520676338,0.379909873008728,0.7111111111111111
PCAPretraining,linear_probe,standard,0.28217341572707233,0.9390764236450195,0.3686685520676338,0.379909873008728,0.7111111111111111
PCAPretraining,peft,standard,0.2840910048918129,0.9382454752922058,0.36931884338746473,0.37772035598754883,0.7111111111111111
PCAPretraining,full_finetune,standard,0.2809143049829619,0.9396187663078308,0.38071757880378837,0.33871519565582275,0.7111111111111111
PCAPretraining,zero_shot,standard,0.5971523229837291,0.7271499037742615,0.3571887689269213,0.4179258942604065,0.7111111111111111
CausaFluxFoundation,frozen_encoder,standard,0.2844942110137162,0.9380700597758372,0.36963647775657316,0.3766494832626717,0.7111111111111111
CausaFluxFoundation,linear_probe,standard,0.2844942110137162,0.9380700597758372,0.36963647775657316,0.3766494832626717,0.7111111111111111
CausaFluxFoundation,peft,standard,0.2872747870048166,0.9368535680320582,0.3639775524884118,0.3955896703517844,0.7111111111111111
CausaFluxFoundation,full_finetune,standard,0.2809220467794313,0.9396155045960283,0.3806939853067118,0.33879716343720173,0.7111111111111111
CausaFluxFoundation,zero_shot,standard,0.5538401511801349,0.7652948498725891,0.35928026277476655,0.41108939051628113,0.7111111111111111
