model,holdout_type,n,rmse,mae,r2,mean_feature_correlation
AdditiveBaseline,overall,165,0.43002293473917275,0.3336532284977278,-0.023711516857815106,0.2249617018300805
AdditiveBaseline,unseen_perturbation,10,0.35272623015115145,0.2749545076421535,-0.2538046799124762,
AdditiveBaseline,unseen_dose,70,0.37239261038786375,0.2916282524560225,0.05611606443251575,0.3424534807259656
AdditiveBaseline,unseen_combination,10,0.36476751658157375,0.2663271029165538,-0.5561665503901286,0.22430183221467395
AdditiveBaseline,unseen_sequence,75,0.4930139313971773,0.38967985232821917,-0.10430003774611123,0.18476778145540876
NearestNeighbor,overall,165,0.37421248153687514,0.28522922643371146,0.22476943104640015,0.4989562637059796
NearestNeighbor,unseen_perturbation,10,0.20515015267948664,0.16432015391921487,0.5758709086843057,0.8336179564861625
NearestNeighbor,unseen_dose,70,0.274694630667839,0.21741393323448896,0.486409683272912,0.7832964442881188
NearestNeighbor,unseen_combination,10,0.27340512731288347,0.2216429771963778,0.12574711755656615,0.5681985723077855
NearestNeighbor,unseen_sequence,75,0.4712451962573479,0.3731228763198966,-0.00893357866010591,0.35428650651240406
CPAAdapterProxy,overall,165,0.27014314530440403,0.19459250219345012,0.595999171395521,0.7662225090862748
CPAAdapterProxy,unseen_perturbation,10,0.1260427251946941,0.09889314724111009,0.8399005123288913,0.9314196440437638
CPAAdapterProxy,unseen_dose,70,0.16136588247143227,0.12572460052034193,0.8227689050640488,0.9076316126581272
CPAAdapterProxy,unseen_combination,10,0.16421349279652955,0.1340762972400935,0.6846147049882526,0.8646756272948334
CPAAdapterProxy,unseen_sequence,75,0.3612940237138998,0.2796979517424439,0.4069514348500677,0.6779402880829509
GEARSAdapterProxy,overall,165,0.3859695304745878,0.2950802973697073,0.1752916440772599,0.45670055890478095
GEARSAdapterProxy,unseen_perturbation,10,0.25314310453166117,0.18901938494090634,0.3542170464835098,0.6493179166496497
GEARSAdapterProxy,unseen_dose,70,0.30384298024669365,0.2317483575058704,0.37163078465681204,0.669132722689922
GEARSAdapterProxy,unseen_combination,10,0.4563165861823897,0.3835872154213462,-1.435321330642833,0.5294404075256981
GEARSAdapterProxy,unseen_sequence,75,0.4530630183966818,0.3565306404929101,0.06742035537598047,0.40550491167731223
TxPertAdapterProxy,overall,165,0.28444644782893097,0.20527354286014143,0.5520852326445166,0.7283756478382193
TxPertAdapterProxy,unseen_perturbation,10,0.2144692238079217,0.1713186809386912,0.5364630775373116,0.8714879577352908
TxPertAdapterProxy,unseen_dose,70,0.16467416316264796,0.1272555881455799,0.8154273209111732,0.9008660517674295
TxPertAdapterProxy,unseen_combination,10,0.1569434352819327,0.1279213905787475,0.7119220140050052,0.8315772575314698
TxPertAdapterProxy,unseen_sequence,75,0.37851641053444446,0.2929312358207781,0.34906424121179613,0.6336911105917699
scGPTAdapterProxy,overall,165,0.2727852451011537,0.19828340452514973,0.5880579716249099,0.7631293081549405
scGPTAdapterProxy,unseen_perturbation,10,0.1311965769994434,0.10476229853711198,0.8265399843023555,0.9316300967568599
scGPTAdapterProxy,unseen_dose,70,0.17065351333918863,0.1326617472126509,0.8017802366239042,0.905542950352822
scGPTAdapterProxy,unseen_combination,10,0.17557164535971226,0.1419488215337725,0.639477377629188,0.8594210119330845
scGPTAdapterProxy,unseen_sequence,75,0.3607211736350843,0.27951104321407066,0.4088305613622577,0.6775875591206705
SequentialGComputation,overall,165,0.3167993050523604,0.23931008038298843,0.4443992899128967,0.6353270080066925
SequentialGComputation,unseen_perturbation,10,0.17926034592396511,0.14263913182182686,0.6761657099086111,0.858633443250184
SequentialGComputation,unseen_dose,70,0.23851105855958044,0.18330099967312216,0.6128016253287976,0.7207332676958195
SequentialGComputation,unseen_combination,10,0.21874708923689837,0.17519282335548148,0.44036054020682724,0.7520996499503928
SequentialGComputation,unseen_sequence,75,0.3962780940518899,0.31302364979068614,0.286541305321756,0.6052668727000805
MarginalStructuralModel,overall,165,0.3201867188053872,0.24176200956122204,0.4324541153251794,0.6232454873165382
MarginalStructuralModel,unseen_perturbation,10,0.18019936774282894,0.1449854562588504,0.6727641331104142,0.8304883621301807
MarginalStructuralModel,unseen_dose,70,0.23852065716513945,0.18421250558760247,0.6127704599876309,0.6998823577201553
MarginalStructuralModel,unseen_combination,10,0.21992717790288427,0.1754752799791424,0.43430600844808326,0.7368120520153995
MarginalStructuralModel,unseen_sequence,75,0.4020759170211133,0.3172166509878605,0.26551179471902625,0.5863331141181518
CausaFluxInterventionGeneralizer,overall,165,0.11374173555894652,0.09032286245489851,0.9283800434509015,0.9638746975441913
CausaFluxInterventionGeneralizer,unseen_perturbation,10,0.09271193722840998,0.07394555248325581,0.9133785030671797,0.928275647980199
CausaFluxInterventionGeneralizer,unseen_dose,70,0.10878096525222417,0.08669496701653497,0.9194580199525416,0.961072576564186
CausaFluxInterventionGeneralizer,unseen_combination,10,0.15075464831924396,0.11964092075630112,0.7341937509126557,0.9369339848456435
CausaFluxInterventionGeneralizer,unseen_sequence,75,0.11506980700335429,0.09198346508673645,0.9398422654188427,0.9742109832378226
