row_id,holdout_type,nearest_support_distance,intervention_a_seen,intervention_b_seen,pair_seen,dose_within_training_range,sequence_seen_for_pair,positivity_warning
IG00015,unseen_dose,7.397914296117321,True,True,False,False,False,True
IG00016,unseen_dose,6.610492465417899,True,True,False,False,False,True
IG00017,unseen_dose,6.565308499036024,True,True,False,False,False,True
IG00018,unseen_dose,6.7022000541530335,True,True,False,False,False,True
IG00019,unseen_dose,6.817889616924814,True,True,False,False,False,True
IG00035,unseen_dose,5.974587868927857,True,True,False,False,False,True
IG00036,unseen_dose,5.974979742799575,True,True,False,False,False,True
IG00037,unseen_dose,6.058552379258471,True,True,False,False,False,True
IG00038,unseen_dose,6.052826360778037,True,True,False,False,False,True
IG00039,unseen_dose,5.8561088526302765,True,True,False,False,False,True
IG00055,unseen_dose,6.66969917701118,True,True,False,False,False,True
IG00056,unseen_dose,6.73510986245098,True,True,False,False,False,True
IG00057,unseen_dose,7.10398992831495,True,True,False,False,False,True
IG00058,unseen_dose,6.807164947877375,True,True,False,False,False,True
IG00059,unseen_dose,6.50319286973553,True,True,False,False,False,True
IG00075,unseen_dose,6.603548179998313,True,True,False,False,False,True
IG00076,unseen_dose,6.553582752557865,True,True,False,False,False,True
IG00077,unseen_dose,6.530864218180426,True,True,False,False,False,True
IG00078,unseen_dose,6.490732826572734,True,True,False,False,False,True
IG00079,unseen_dose,7.01430129274871,True,True,False,False,False,True
IG00095,unseen_dose,6.674989035128339,True,True,False,False,False,True
IG00096,unseen_dose,6.483218006886237,True,True,False,False,False,True
IG00097,unseen_dose,6.416257148636814,True,True,False,False,False,True
IG00098,unseen_dose,6.542182246879868,True,True,False,False,False,True
IG00099,unseen_dose,6.489153912836488,True,True,False,False,False,True
IG00115,unseen_dose,6.34150487109435,True,True,False,False,False,True
IG00116,unseen_dose,6.210761819623626,True,True,False,False,False,True
IG00117,unseen_dose,6.936578671364352,True,True,False,False,False,True
IG00118,unseen_dose,6.635985315094283,True,True,False,False,False,True
IG00119,unseen_dose,6.3507899116542355,True,True,False,False,False,True
IG00135,unseen_dose,6.478818764108868,True,True,False,False,False,True
IG00136,unseen_dose,6.283273882686278,True,True,False,False,False,True
IG00137,unseen_dose,6.297219931648511,True,True,False,False,False,True
IG00138,unseen_dose,6.232082915543569,True,True,False,False,False,True
IG00139,unseen_dose,6.611257462905956,True,True,False,False,False,True
IG00140,unseen_perturbation,5.0998861921301195,False,True,False,True,False,True
IG00141,unseen_perturbation,5.07614333524887,False,True,False,True,False,True
