model,modality,nominal_coverage,observed_coverage,mean_interval_half_width_z
CausaFluxPoEDynamic,rna,0.5,0.4714285714285714,0.4684262275695801
CausaFluxPoEDynamic,rna,0.8,0.7142857142857143,0.8900232315063477
CausaFluxPoEDynamic,rna,0.9,0.8457142857142858,1.1423312425613403
CausaFluxPoEDynamic,rna,0.95,0.9114285714285715,1.361171841621399
CausaFluxPoEDynamic,phosphoprotein,0.5,0.5142857142857142,0.7109506130218506
CausaFluxPoEDynamic,phosphoprotein,0.8,0.7857142857142857,1.3508262634277344
CausaFluxPoEDynamic,phosphoprotein,0.9,0.8857142857142857,1.7337650060653687
CausaFluxPoEDynamic,phosphoprotein,0.95,0.9535714285714286,2.065908908843994
CausaFluxPoEDynamic,metabolome,0.5,0.3904761904761905,0.368182897567749
CausaFluxPoEDynamic,metabolome,0.8,0.6761904761904762,0.6995579600334167
CausaFluxPoEDynamic,metabolome,0.9,0.7761904761904762,0.8978720307350159
CausaFluxPoEDynamic,metabolome,0.95,0.8857142857142857,1.0698806047439575
CausaFluxPoEDynamic,lipidome,0.5,0.4714285714285714,0.3246993124485016
CausaFluxPoEDynamic,lipidome,0.8,0.7761904761904762,0.6169378757476807
CausaFluxPoEDynamic,lipidome,0.9,0.861904761904762,0.7918303608894348
CausaFluxPoEDynamic,lipidome,0.95,0.9380952380952381,0.9435243010520935
CausaFluxMoEDynamic,rna,0.5,0.4742857142857143,0.5066289901733398
CausaFluxMoEDynamic,rna,0.8,0.7085714285714285,0.9626094698905945
CausaFluxMoEDynamic,rna,0.9,0.8314285714285714,1.235494613647461
CausaFluxMoEDynamic,rna,0.95,0.8885714285714286,1.4721828699111938
CausaFluxMoEDynamic,phosphoprotein,0.5,0.5142857142857142,0.7106730937957764
CausaFluxMoEDynamic,phosphoprotein,0.8,0.7607142857142857,1.3502988815307617
CausaFluxMoEDynamic,phosphoprotein,0.9,0.8464285714285714,1.7330880165100098
CausaFluxMoEDynamic,phosphoprotein,0.95,0.925,2.0651023387908936
CausaFluxMoEDynamic,metabolome,0.5,0.3952380952380952,0.36672863364219666
CausaFluxMoEDynamic,metabolome,0.8,0.6333333333333333,0.6967947483062744
CausaFluxMoEDynamic,metabolome,0.9,0.7761904761904762,0.8943254351615906
CausaFluxMoEDynamic,metabolome,0.95,0.8714285714285714,1.0656546354293823
CausaFluxMoEDynamic,lipidome,0.5,0.48095238095238096,0.35694703459739685
CausaFluxMoEDynamic,lipidome,0.8,0.7428571428571429,0.6782094836235046
CausaFluxMoEDynamic,lipidome,0.9,0.8333333333333334,0.8704715371131897
CausaFluxMoEDynamic,lipidome,0.95,0.9,1.0372309684753418
CausaFluxPoE_NoImagingReporter,rna,0.5,0.48857142857142855,0.560721218585968
CausaFluxPoE_NoImagingReporter,rna,0.8,0.7371428571428571,1.065386176109314
CausaFluxPoE_NoImagingReporter,rna,0.9,0.8714285714285714,1.367406964302063
CausaFluxPoE_NoImagingReporter,rna,0.95,0.92,1.629366159439087
CausaFluxPoE_NoImagingReporter,phosphoprotein,0.5,0.5142857142857142,0.7559175491333008
CausaFluxPoE_NoImagingReporter,phosphoprotein,0.8,0.7642857142857142,1.4362647533416748
CausaFluxPoE_NoImagingReporter,phosphoprotein,0.9,0.8678571428571429,1.8434240818023682
CausaFluxPoE_NoImagingReporter,phosphoprotein,0.95,0.9464285714285714,2.19657564163208
CausaFluxPoE_NoImagingReporter,metabolome,0.5,0.45714285714285713,0.4859158992767334
CausaFluxPoE_NoImagingReporter,metabolome,0.8,0.7476190476190476,0.9232538342475891
CausaFluxPoE_NoImagingReporter,metabolome,0.9,0.8238095238095238,1.1849822998046875
CausaFluxPoE_NoImagingReporter,metabolome,0.95,0.919047619047619,1.4119936227798462
CausaFluxPoE_NoImagingReporter,lipidome,0.5,0.4714285714285714,0.44496238231658936
CausaFluxPoE_NoImagingReporter,lipidome,0.8,0.7666666666666667,0.8454411625862122
CausaFluxPoE_NoImagingReporter,lipidome,0.9,0.8666666666666667,1.0851110219955444
CausaFluxPoE_NoImagingReporter,lipidome,0.95,0.9285714285714286,1.2929896116256714
