model,bootstrap,log_loss,brier,auc,accuracy
BaselineCovariatesMLP,0,0.5144452104121408,0.16517371692269528,0.8923611111111112,0.8333333333333334
BaselineCovariatesMLP,1,0.6176303759761559,0.21229589247631003,0.8866666666666667,0.8285714285714286
BaselineCovariatesMLP,2,0.6264399420525076,0.21756814681211903,0.7133333333333333,0.7714285714285715
BaselineCovariatesMLP,3,0.5870749176191021,0.19885245959690231,0.796875,0.75
BaselineCovariatesMLP,4,0.5704030634492239,0.19071823138216112,0.88125,0.8333333333333334
BaselineCovariatesMLP,5,0.5384154473138765,0.17549663118468314,0.9428571428571428,0.8378378378378378
BaselineCovariatesMLP,6,0.564352275808987,0.18811221576543322,0.8290598290598291,0.7714285714285715
BaselineCovariatesMLP,7,0.5821445242003952,0.1969769986416408,0.8016528925619835,0.696969696969697
BaselineCovariatesMLP,8,0.6212961966757771,0.21510048460017428,0.7821428571428573,0.7058823529411765
BaselineCovariatesMLP,9,0.5589769716823707,0.18680498218811778,0.8923611111111112,0.7777777777777778
BaselineCovariatesMLP,10,0.5974619732446347,0.20367412558512543,0.8923611111111112,0.6666666666666666
BaselineCovariatesMLP,11,0.522083337485396,0.16735023435374238,0.84375,0.868421052631579
BaselineCovariatesMLP,12,0.6095042475242946,0.20844847549163664,0.5,0.7941176470588235
BaselineCovariatesMLP,13,0.5862943003745642,0.1990362642923497,0.8166666666666667,0.6470588235294118
BaselineCovariatesMLP,14,0.6016171379808003,0.20616878775499933,0.7905982905982907,0.6571428571428571
BaselineCovariatesMLP,15,0.608462766347315,0.20998424920476344,0.8035714285714286,0.7352941176470589
BaselineCovariatesMLP,16,0.5510328702290203,0.18087844949598517,0.7777777777777778,0.8611111111111112
BaselineCovariatesMLP,17,0.5146813448181935,0.1645727073084681,0.8673469387755102,0.7428571428571429
BaselineCovariatesMLP,18,0.5725208835838632,0.19234282181684567,0.9335664335664335,0.7837837837837838
BaselineCovariatesMLP,19,0.5537931163966828,0.18217795707170692,0.881118881118881,0.8108108108108109
BaselineCovariatesMLP,20,0.6506751926571185,0.22967078559186124,0.6538461538461537,0.6666666666666666
BaselineCovariatesMLP,21,0.5397055699946329,0.17665873025558576,0.923611111111111,0.8055555555555556
BaselineCovariatesMLP,22,0.6117172375238071,0.2109868408328826,0.829059829059829,0.6857142857142857
BaselineCovariatesMLP,23,0.6563211211755495,0.23253370092148334,0.7087912087912087,0.696969696969697
BaselineCovariatesMLP,24,0.6338222205330305,0.220614738090266,0.7362637362637363,0.696969696969697
BaselineCovariatesMLP,25,0.6027012709661757,0.20593053936533812,0.7791666666666667,0.7352941176470589
BaselineCovariatesMLP,26,0.49184584364724304,0.15468041085176498,0.9055944055944056,0.8
BaselineCovariatesMLP,27,0.5260528661068142,0.16925907022367132,0.8727272727272728,0.8648648648648649
BaselineCovariatesMLP,28,0.5833572273457602,0.19713827628901526,0.7606837606837608,0.7428571428571429
BaselineCovariatesMLP,29,0.5347557505295008,0.17435900602851143,0.9583333333333333,0.8157894736842105
BaselineCovariatesMLP,30,0.5990334712608805,0.20416824146023305,0.85,0.7647058823529411
BaselineCovariatesMLP,31,0.6406320712469674,0.223826567375314,0.6607142857142857,0.7352941176470589
BaselineCovariatesMLP,32,0.5028024033997448,0.15987012477053716,0.8125,0.8888888888888888
BaselineCovariatesMLP,33,0.5125789223152611,0.1638960329713625,0.9583333333333334,0.8421052631578947
BaselineCovariatesMLP,34,0.6488896037870505,0.22771040243409849,0.5659340659340659,0.6666666666666666
BaselineCovariatesMLP,35,0.5565698785207603,0.1841147666117092,0.96875,0.8421052631578947
BaselineCovariatesMLP,36,0.5284689564951962,0.17200833441719526,0.8839285714285714,0.75
BaselineCovariatesMLP,37,0.6197244066843637,0.21378683627562498,0.9017857142857143,0.7777777777777778
BaselineCovariatesMLP,38,0.5767486215464447,0.1946922811948967,0.8636363636363636,0.6857142857142857
BaselineCovariatesMLP,39,0.5463437230506643,0.18008288584987092,0.86875,0.8055555555555556
BaselineCovariatesMLP,40,0.6042590020574009,0.20705156935604055,0.7321428571428572,0.7941176470588235
BaselineCovariatesMLP,41,0.5777659849127939,0.19527054142854483,0.74,0.7714285714285715
BaselineCovariatesMLP,42,0.5981171020331097,0.20405028905999367,0.6190476190476191,0.7058823529411765
BaselineCovariatesMLP,43,0.541627994413855,0.17710636154423143,0.84375,0.8055555555555556
BaselineCovariatesMLP,44,0.603618045983047,0.2060630325112619,0.7375,0.7352941176470589
BaselineCovariatesMLP,45,0.562343559683813,0.1860738822760996,0.9375,0.8611111111111112
BaselineCovariatesMLP,46,0.5517077662474643,0.18307767918061948,0.811965811965812,0.7714285714285715
BaselineCovariatesMLP,47,0.5766000569149249,0.19415005029798885,0.8803418803418803,0.7428571428571429
BaselineCovariatesMLP,48,0.5748634519685039,0.19283898205638286,0.9090909090909092,0.7428571428571429
BaselineCovariatesMLP,49,0.6056790735033296,0.20718161489267523,0.6875,0.7352941176470589
BaselineCovariatesMLP,50,0.4544762591030182,0.1372847494454682,0.9405594405594406,0.8918918918918919
BaselineCovariatesMLP,51,0.5374934619612907,0.17660607334550332,0.671875,0.8055555555555556
BaselineCovariatesMLP,52,0.612289625941652,0.21074972830782934,0.7000000000000001,0.8
BaselineCovariatesMLP,53,0.6127995341891536,0.21183477730474212,0.7355371900826446,0.6060606060606061
BaselineCovariatesMLP,54,0.6634319425962406,0.23462904728904707,0.6369047619047619,0.6470588235294118
BaselineCovariatesMLP,55,0.6035964163690309,0.20608838409524158,0.7948717948717948,0.7142857142857143
BaselineCovariatesMLP,56,0.5434860556579049,0.17882764720598782,0.953125,0.8157894736842105
BaselineCovariatesMLP,57,0.4796799249488708,0.1484406803115422,0.9736842105263157,0.8378378378378378
BaselineCovariatesMLP,58,0.5664781106958438,0.18919530824904554,0.7307692307692308,0.7714285714285715
BaselineCovariatesMLP,59,0.6103307917843516,0.21094598676074328,0.731404958677686,0.5757575757575758
BaselineCovariatesMLP,60,0.5909030287666367,0.2007372146939185,0.6733333333333333,0.7142857142857143
BaselineCovariatesMLP,61,0.6225139045384916,0.2155383500218684,0.7355371900826446,0.696969696969697
