,model,modality,metric,value
0,CausaFluxPoEDynamic,rna,rmse,0.693093478679657
1,CausaFluxPoEDynamic,rna,mean_feature_correlation,0.5770544657492509
2,CausaFluxPoEDynamic,phosphoprotein,rmse,0.9047725200653076
3,CausaFluxPoEDynamic,phosphoprotein,mean_feature_correlation,0.21164706370767888
4,CausaFluxPoEDynamic,metabolome,rmse,0.6899483799934387
5,CausaFluxPoEDynamic,metabolome,mean_feature_correlation,0.6354131490824223
6,CausaFluxPoEDynamic,lipidome,rmse,0.5172228217124939
7,CausaFluxPoEDynamic,lipidome,mean_feature_correlation,0.8220104443738044
8,CausaFluxMoEDynamic,rna,rmse,0.7595877051353455
9,CausaFluxMoEDynamic,rna,mean_feature_correlation,0.4688650750339467
10,CausaFluxMoEDynamic,phosphoprotein,rmse,0.9272257685661316
11,CausaFluxMoEDynamic,phosphoprotein,mean_feature_correlation,0.19538381472159616
12,CausaFluxMoEDynamic,metabolome,rmse,0.7148353457450867
13,CausaFluxMoEDynamic,metabolome,mean_feature_correlation,0.6087613146606027
14,CausaFluxMoEDynamic,lipidome,rmse,0.6090001463890076
15,CausaFluxMoEDynamic,lipidome,mean_feature_correlation,0.7635180665364866
16,CausaFluxPoE_NoImagingReporter,rna,rmse,0.7680978178977966
17,CausaFluxPoE_NoImagingReporter,rna,mean_feature_correlation,0.45446616646421295
18,CausaFluxPoE_NoImagingReporter,phosphoprotein,rmse,0.9716165065765381
19,CausaFluxPoE_NoImagingReporter,phosphoprotein,mean_feature_correlation,0.2314345576156252
20,CausaFluxPoE_NoImagingReporter,metabolome,rmse,0.8085038065910339
21,CausaFluxPoE_NoImagingReporter,metabolome,mean_feature_correlation,0.5491924248249377
22,CausaFluxPoE_NoImagingReporter,lipidome,rmse,0.6950817704200745
23,CausaFluxPoE_NoImagingReporter,lipidome,mean_feature_correlation,0.6966626373087094
