model,scenario,log_loss,brier,auc,accuracy,delta_log_loss_vs_observed
EarlyImagingReporterGRU,observed,0.3842523308857847,0.055347981416783404,0.9786324786324786,0.9428571428571428,0.0
EarlyImagingReporterGRU,MCAR_20,0.5239541924745824,0.09925129182250314,0.9615384615384616,0.8857142857142857,0.13970186158879772
EarlyImagingReporterGRU,MNAR_destructive_imaging,0.48876821991405534,0.05713690886740236,0.9700854700854702,0.9428571428571428,0.10451588902827064
EarlyImagingReporterGRU,MNAR_low_quality_omics,0.3842523308857847,0.055347981416783404,0.9786324786324786,0.9428571428571428,0.0
CausaFluxPoEDynamic,observed,0.13412468303412395,0.028737044323903588,0.9829059829059829,0.9714285714285714,0.0
CausaFluxPoEDynamic,MCAR_20,0.1365330167576695,0.028891284297080162,0.9786324786324786,0.9714285714285714,0.0024083337235455415
CausaFluxPoEDynamic,MNAR_destructive_imaging,0.15897733511225232,0.03772726077521781,0.9871794871794871,0.9714285714285714,0.024852652078128368
CausaFluxPoEDynamic,MNAR_low_quality_omics,0.13675932744672278,0.029441911180526883,0.9829059829059829,0.9714285714285714,0.0026346444125988355
CausaFluxMoEDynamic,observed,0.1290608796711026,0.030600460595078767,0.9914529914529914,0.9714285714285714,0.0
CausaFluxMoEDynamic,MCAR_20,0.13458510054004977,0.0307964961426841,0.9829059829059829,0.9714285714285714,0.005524220868947161
CausaFluxMoEDynamic,MNAR_destructive_imaging,0.1273646946123043,0.03002431418133533,0.9871794871794871,0.9714285714285714,-0.0016961850587983163
CausaFluxMoEDynamic,MNAR_low_quality_omics,0.1387882646495136,0.03435264100045717,0.9914529914529914,0.9714285714285714,0.009727384978410997
