benchmark_id,source_id,accession,role,adapter,access,execution_mode,metadata_only,destination,command_or_action
htan_spatial_cancer,htan_oms_breast,HTAN center hta9; file Synapse IDs resolved from portal query,discovery,htan_synapse,mixed open and controlled,portal-query-account,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_oms_breast,Open HTAN portal query for htan_oms_breast; export metadata; then use synapse get on locked synIDs into /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_oms_breast
htan_spatial_cancer,htan_breast_precancer,HTAN center hta6; file Synapse IDs resolved from portal query,independent_validation,htan_synapse,mixed open and controlled,portal-query-account,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_breast_precancer,Open HTAN portal query for htan_breast_precancer; export metadata; then use synapse get on locked synIDs into /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_breast_precancer
htan_spatial_cancer,htan_cellular_geography_resistance,HTAN center hta5; file Synapse IDs resolved from portal query,secondary_validation,htan_synapse,mixed open and controlled,portal-query-account,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_cellular_geography_resistance,Open HTAN portal query for htan_cellular_geography_resistance; export metadata; then use synapse get on locked synIDs into /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/htan_spatial_cancer/htan_cellular_geography_resistance
gdc_tcga_cptac_brca,tcga_brca,TCGA-BRCA,discovery,gdc,open harmonized derived files; controlled raw/germline files,public-and-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/tcga_brca,"Use GDC API/client with query {""project_id"":""TCGA-BRCA"",""data_access"":""open"",""data_categories"":[""Transcriptome Profiling"",""Simple Nucleotide Variation"",""Copy Number Variation"",""DNA Methylation"",""Clinical""]}; write file manifest and MD5 lock under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/tcga_brca"
gdc_tcga_cptac_brca,cptac2_breast_genomics,CPTAC-2,independent_validation,gdc,mixed open and controlled,public-and-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/cptac2_breast_genomics,"Use GDC API/client with query {""project_id"":""CPTAC-2"",""primary_site"":""Breast""}; write file manifest and MD5 lock under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/cptac2_breast_genomics"
gdc_tcga_cptac_brca,cptac_brca_proteome,PDC000120,independent_validation,pdc,open processed proteomic data; file-specific terms,public-and-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/cptac_brca_proteome,Use PDC GraphQL API for study PDC000120; write study version and file checksums under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/cptac_brca_proteome
gdc_tcga_cptac_brca,calgb40601_proteogenomics,PDC000582,therapy_response_validation,pdc,open/controlled by file,public-and-controlled,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/calgb40601_proteogenomics,Use PDC GraphQL API for study PDC000582; write study version and file checksums under /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/gdc_tcga_cptac_brca/calgb40601_proteogenomics
depmap_prism_lincs,depmap_26q1,DepMap Public 26Q1,discovery,depmap_manual,public bulk download; acceptance of file-level terms required,manual-terms-no-scraping,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/depmap_26q1,Download DepMap Public 26Q1 from DepMap Downloads after accepting file terms; place files in /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/depmap_26q1
depmap_prism_lincs,prism_repurposing,PRISM Repurposing Secondary Screen,drug_response_discovery,depmap_manual,public bulk download with file-level terms,manual-terms-no-scraping,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/prism_repurposing,Download PRISM Repurposing Secondary Screen from DepMap Downloads after accepting file terms; place files in /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/prism_repurposing
depmap_prism_lincs,lincs_phase1,GSE92742,independent_signature_validation,geo,open,public-command,True,/mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/lincs_phase1,Download GEO supplementary files for GSE92742 using NCBI HTTPS/FTP into /mnt/data/causaflux_v170_work/CausaFlux_v1.7.0/realdata_reference_v170/data/depmap_prism_lincs/lincs_phase1
