,row_id,donor_id,cohort_id,section_id,section_index,cell_id,cell_type,time,x,y,vulnerability,repair_capacity,regulatory_activity,organelle_coupling,stress,damage,reserve,inflammation,communication_tone,next_stress,next_damage,next_reserve,next_inflammation,next_time,delta_t,destructive_state,next_destructive_state
2,D00_S0_C000_T024,D00,C0,D00_S0,0,D00_S0_C000,tumor,24.0,337.41992930217003,555.1096402873306,0.3938552774363668,0.39024716363447065,1.0631197501208522,0.8165396189153732,1.1078401004725715,1.634645289249973,0.02,1.3174319680391158,0.2,2.0326595054119894,3.0,0.02,2.5,48.0,24.0,1.3539113605801303,2.5047446615153572
6,D00_S0_C001_T024,D00,C0,D00_S0,0,D00_S0_C001,macrophage,24.0,358.30811271054205,210.21552533992423,0.437504968034575,0.4938060227375138,0.8567613789871589,1.308456799255283,1.0678430638899021,1.8509459987968977,0.02,1.5120839605064809,0.55,2.197268538094661,3.0,0.02,2.5,48.0,24.0,1.4854669294129796,2.550835190666505
10,D00_S0_C002_T024,D00,C0,D00_S0,0,D00_S0_C002,macrophage,24.0,143.68045947380475,848.923284888522,0.35420651611588483,0.7530625752846343,0.6051436031331483,1.0099522018984548,0.8658563819298516,1.3330964929576294,0.03040077229782015,1.1565535886845197,0.55,1.7443477553951094,3.0,0.02,2.5,48.0,24.0,1.1069486513914042,2.424017371510631
14,D00_S0_C003_T024,D00,C0,D00_S0,0,D00_S0_C003,macrophage,24.0,383.0947228394522,148.9737307687073,0.6100402947590842,0.32413934839788894,0.916930643896701,1.0821173267270299,1.2154726228012318,1.928513548610226,0.02,1.5372861176689459,0.55,2.3893227119200957,3.0,0.02,2.5,48.0,24.0,1.5690760612510426,2.604610359337627
18,D00_S0_C004_T024,D00,C0,D00_S0,0,D00_S0_C004,tumor,24.0,591.1511302377626,874.576345144282,0.8603556623376878,0.40565001341589596,0.8354033301931507,1.1020941096731436,1.4147660804345048,2.06434511706396,0.02,1.4393668579339902,0.2,2.4534787389710715,3.0,0.02,2.5,48.0,24.0,1.6704935302991604,2.6225740469119
22,D00_S0_C005_T024,D00,C0,D00_S0,0,D00_S0_C005,tumor,24.0,764.4784546031775,940.6103026795404,0.42049038955769674,0.6013032772409631,0.673040022766307,1.2935642422236935,1.1288086725477395,1.916574983075887,0.02,1.219274259552842,0.2,2.36380931223344,3.0,0.02,2.5,48.0,24.0,1.4754772721003615,2.597466607425363
26,D00_S0_C006_T024,D00,C0,D00_S0,0,D00_S0_C006,macrophage,24.0,626.526585042142,338.9632166168813,0.4952571828686418,0.3887572034373117,0.45889005267691124,1.0461365416943598,1.0650836899424838,1.7807436884824286,0.02,1.3270998448523548,0.55,2.376054507035486,3.0,0.02,2.5,48.0,24.0,1.4140003726259323,2.6008952619699364
30,D00_S0_C007_T024,D00,C0,D00_S0,0,D00_S0_C007,macrophage,24.0,487.407951395272,677.0938869340416,0.3112643332284475,0.5459652663537806,0.9629617275118478,0.9463637742982433,0.9160638827112065,1.379815098777732,0.02,1.2866771567743398,0.55,1.9557924113666083,3.0,0.02,2.5,48.0,24.0,1.1717445659273171,2.4832218751826503
34,D00_S0_C008_T024,D00,C0,D00_S0,0,D00_S0_C008,tumor,24.0,880.5393702237168,870.486888157835,0.33933594586511723,0.49214618873123445,0.7609883484607645,1.0416032687680965,1.2076546247268372,1.758181901032312,0.02,1.1748466833337876,0.2,2.3535536937070756,3.0,0.02,2.5,48.0,24.0,1.4126399440857818,2.5945950342379813
38,D00_S0_C009_T024,D00,C0,D00_S0,0,D00_S0_C009,vascular,24.0,98.48955231898802,890.7944680842335,0.38913089117105204,0.47473395589421385,0.7104586984295848,1.1711366778360581,0.8103340521667193,1.4293027460199788,0.1347022224740846,0.8751681941243562,-0.05,1.7814350786678432,3.0,0.02,2.308657810081952,48.0,24.0,1.058358002576844,2.3961333840433867
42,D00_S0_C010_T024,D00,C0,D00_S0,0,D00_S0_C010,tumor,24.0,847.6259295321017,385.1600336894481,0.36613351200831556,0.7714685348371992,0.8764633356256188,0.8601363495435534,1.0628887556368025,1.5169089051142015,0.02,1.1654835549688143,0.2,2.1452533893537216,3.0,0.02,2.5,48.0,24.0,1.2544218370268845,2.536270949019042
46,D00_S0_C011_T024,D00,C0,D00_S0,0,D00_S0_C011,macrophage,24.0,426.62756986571287,952.1535787079594,0.5661834430481935,0.7144595550369386,0.6539705350343382,1.3934727450768754,1.1525222760263318,1.9435792835280343,0.02,1.4105180692744659,0.55,2.3995736627357522,3.0,0.02,2.5,48.0,24.0,1.5333279072357227,2.607480625566011
50,D00_S0_C012_T024,D00,C0,D00_S0,0,D00_S0_C012,tumor,24.0,585.6349754920118,404.4071002005458,0.7196939848612076,0.7405919304332045,0.8235582923473943,1.2744827263074445,1.3837486238704548,2.0808086937685593,0.02,1.248859155778158,0.2,2.5311661084030477,3.0,0.02,2.5,48.0,24.0,1.6316096188482676,2.6443265103528533
54,D00_S0_C013_T024,D00,C0,D00_S0,0,D00_S0_C013,t_cell,24.0,150.39621395583532,633.0441227997514,0.5400704882492476,0.6429987412741763,0.7810928410137559,0.973198753534171,0.9586032959277165,1.4072665942568623,0.05928952866796624,0.9477472264000791,-0.12,1.944907311625601,3.0,0.02,2.399692922961747,48.0,24.0,1.1204026370761175,2.4601126318475175
58,D00_S0_C014_T024,D00,C0,D00_S0,0,D00_S0_C014,fibroblast,24.0,97.1945487766057,420.167605380706,0.5058547572313253,0.7187475220354262,0.7510577634387151,1.260510468662216,1.0324193373306925,1.489279449778888,0.02,1.2442019441075618,0.34,2.0295239381500023,3.0,0.02,2.5,48.0,24.0,1.2483719391679724,2.5038667026820005
62,D00_S0_C015_T024,D00,C0,D00_S0,0,D00_S0_C015,tumor,24.0,548.9509917743044,453.75237810948573,0.7501384259803463,0.7006553057235312,0.8461322245287732,1.2083234750143799,1.3472583280989898,1.9326813694325082,0.02,1.3545764987356141,0.2,2.4474186171262,3.0,0.02,2.5,48.0,24.0,1.5714346889424442,2.620877212795336
66,D00_S0_C016_T024,D00,C0,D00_S0,0,D00_S0_C016,fibroblast,24.0,237.4742933443835,234.36618134565964,0.33360825623705115,0.44977952853021336,0.4493749968690259,1.0167993753485909,0.8192970138622383,1.4537604211961352,0.09784520904894038,1.353969783287766,0.34,1.8171652514498713,3.0,0.02,2.5,48.0,24.0,1.176476176722358,2.444406270405964
70,D00_S0_C017_T024,D00,C0,D00_S0,0,D00_S0_C017,vascular,24.0,816.6440360945143,582.4454527537223,0.46493447540120075,0.40686055094530005,0.9198448609776945,1.0355521310720308,1.0759691952321508,1.5241954327666931,0.1936063502709257,0.7292616521091071,-0.05,2.230588639454447,3.0,0.02,2.2668678397040503,48.0,24.0,1.1361441157552326,2.513538386988055
74,D00_S0_C018_T024,D00,C0,D00_S0,0,D00_S0_C018,tumor,24.0,931.5567555019113,57.54203179137803,0.6826290605613516,0.5746169083479545,0.6426932868650757,1.1012149760275354,1.2073516428477917,1.9178901618452773,0.02,1.2773078459228346,0.2,2.3971610323864163,3.0,0.02,2.5,48.0,24.0,1.5097073068676816,2.6068050890681964
78,D00_S0_C019_T024,D00,C0,D00_S0,0,D00_S0_C019,tumor,24.0,126.32113631481538,304.837279609487,0.3684607252537392,0.7477007186487854,0.8674770097830552,0.9957264099483293,1.0168408408590028,1.5624403197629175,0.02,1.2366653255217208,0.2,1.9601306361506816,3.0,0.02,2.5,48.0,24.0,1.2776198540310653,2.484436578122191
82,D00_S0_C020_T024,D00,C0,D00_S0,0,D00_S0_C020,t_cell,24.0,641.8493393443388,397.63335422337934,0.35383855049434354,0.5476800955230039,0.8002868214357736,1.0753887133835935,1.0190563614606318,1.6061263643256134,0.13144438463772606,0.8553056440938148,-0.12,2.348629913301542,3.0,0.02,2.5,48.0,24.0,1.1984198002837345,2.5932163757244315
86,D00_S0_C021_T024,D00,C0,D00_S0,0,D00_S0_C021,macrophage,24.0,677.089772585599,180.67666319971275,0.7008081930356448,0.28761690257477135,0.8064274834011308,1.4136184287757054,1.2640436055733193,1.9188945305222807,0.02,1.4201972435601065,0.55,2.457204597894191,3.0,0.02,2.5,48.0,24.0,1.5546410329232454,2.6236172874103736
90,D00_S0_C022_T024,D00,C0,D00_S0,0,D00_S0_C022,tumor,24.0,423.7153242298834,792.3121877592816,0.7272946817981968,0.40882247829598617,0.6441140335826142,0.928638496198503,1.2049544476339598,2.0259365517488117,0.02,1.3828748419923378,0.2,2.1493556279901243,3.0,0.02,2.5,48.0,24.0,1.5820117585754059,2.537419575837235
94,D00_S0_C023_T024,D00,C0,D00_S0,0,D00_S0_C023,macrophage,24.0,478.0373034775013,593.9700050129087,0.36347018946425047,0.6936286874409583,0.4240283357500339,0.935505428693937,0.807832597635131,1.2825764257710284,0.03415571897445043,1.2770463802562153,0.55,1.7754113535563376,3.0,0.02,2.5,48.0,24.0,1.0897248295847943,2.4327151789957746
98,D00_S0_C024_T024,D00,C0,D00_S0,0,D00_S0_C024,vascular,24.0,483.7177045836208,676.1487383724785,0.4287730860780641,0.5503641879901195,0.43651057235394886,0.8480291664145427,0.8023093629362698,1.2611482224352344,0.2369406276004064,1.0574488154282142,-0.05,1.7475289725896659,3.0,0.02,2.5,48.0,24.0,0.9893605934046215,2.4249081123251064
102,D00_S0_C025_T024,D00,C0,D00_S0,0,D00_S0_C025,t_cell,24.0,505.0524532086478,522.7942652364134,0.3071540784764897,0.330471358899318,0.7700898136547925,1.3537171674358879,0.9353398374983244,1.675979144698574,0.09528819441101616,1.064843726470039,-0.12,2.009551887893398,3.0,0.02,2.5,48.0,24.0,1.2583704864784306,2.4982745286101515
106,D00_S0_C026_T024,D00,C0,D00_S0,0,D00_S0_C026,fibroblast,24.0,148.06856194133718,407.1588948387712,0.5527609133058412,0.6330554503281227,0.5113685444044215,0.9938085115881031,1.0323697368521583,1.532379249074146,0.06093774907863804,1.2666939625689562,0.34,2.059667466607213,3.0,0.02,2.5,48.0,24.0,1.2645380535906854,2.5123068906500197
110,D00_S0_C027_T024,D00,C0,D00_S0,0,D00_S0_C027,fibroblast,24.0,770.3834957968935,264.52629394453044,0.582403965500671,0.5217967044675016,0.9981442762912991,0.8967555200957436,1.1158092831608557,1.4651067996888498,0.02,1.1342995981023534,0.34,2.3091412623078598,3.0,0.02,2.5,48.0,24.0,1.2381377827561582,2.5821595534462007
114,D00_S0_C028_T024,D00,C0,D00_S0,0,D00_S0_C028,fibroblast,24.0,391.34523465303056,655.7045187088329,0.41679778458920347,0.2683820846952423,1.0757645264185216,1.121545488820079,0.9567487591911013,1.6374615227106493,0.02,1.308229527708729,0.34,1.988306524185106,3.0,0.02,2.5,48.0,24.0,1.3111170890163657,2.49232582677183
