section_id,donor_id,time,source,target,source_cell_id,target_cell_id,sender_type,receiver_type,relation,distance,ligand_signal,receptor_signal,true_gate_probability,edge_active,source_stress,source_damage,source_inflammation
D00_S0,D00,0.0,D00_S0_C029_T000,D00_S0_C000_T000,D00_S0_C029,D00_S0_C000,fibroblast,tumor,fibroblast_to_tumor,105.69145830020865,0.5514969360167543,0.6307013616662347,0.5435893773657503,1,0.2924886201986512,0.3195082277094449,0.5985794481011514
D00_S0,D00,0.0,D00_S0_C028_T000,D00_S0_C000_T000,D00_S0_C028,D00_S0_C000,fibroblast,tumor,fibroblast_to_tumor,130.045458088166,0.5179973796592701,0.6307013616662347,0.42504536497535333,0,0.21625662947847052,0.32272758557583314,0.6325714769020112
D00_S0,D00,0.0,D00_S0_C023_T000,D00_S0_C000_T000,D00_S0_C023,D00_S0_C000,macrophage,tumor,macrophage_to_tumor,153.28936266923637,0.7430287514332448,0.6307013616662347,0.43003718439146077,0,0.27974201434920404,0.2685793799044116,0.7958489133610733
D00_S0,D00,0.0,D00_S0_C025_T000,D00_S0_C000_T000,D00_S0_C025,D00_S0_C000,t_cell,tumor,t_cell_to_tumor,168.7810297363847,0.05082713950757395,0.6307013616662347,0.013040343010633972,0,0.24334285081229068,0.24529142656817254,0.05444939641105093
D00_S0,D00,0.0,D00_S0_C013_T000,D00_S0_C000_T000,D00_S0_C013,D00_S0_C000,t_cell,tumor,t_cell_to_tumor,198.82210455843824,0.07523780352012577,0.6307013616662347,0.007850875360665097,0,0.2999874855851646,0.24097374002720687,0.07050127336575589
D00_S0,D00,0.0,D00_S0_C003_T000,D00_S0_C001_T000,D00_S0_C003,D00_S0_C001,macrophage,macrophage,other,57.50859754217842,0.8223109305065628,0.6098413423636972,0.4969709923292491,0,0.3980675370364438,0.3727221553606519,0.7217406784781656
D00_S0,D00,0.0,D00_S0_C016_T000,D00_S0_C001_T000,D00_S0_C016,D00_S0_C001,fibroblast,macrophage,other,133.14963940988676,0.5097299979235633,0.6098413423636972,0.1501885489307262,0,0.22494069753495485,0.27402673613133427,0.5415187585667788
D00_S0,D00,0.0,D00_S0_C031_T000,D00_S0_C001_T000,D00_S0_C031,D00_S0_C001,tumor,macrophage,tumor_to_macrophage,196.87102996293356,0.6191797085371126,0.6098413423636972,0.15785957980062776,0,0.6572005756524399,0.49375779797405833,0.4276879101693832
D00_S0,D00,0.0,D00_S0_C033_T000,D00_S0_C001_T000,D00_S0_C033,D00_S0_C001,macrophage,macrophage,other,227.8705585563289,0.7000805082548345,0.6098413423636972,0.03844968230643434,0,0.16517707198379394,0.30300330344850823,0.745931234478889
D00_S0,D00,0.0,D00_S0_C019_T000,D00_S0_C001_T000,D00_S0_C019,D00_S0_C001,tumor,macrophage,tumor_to_macrophage,260.24493784255094,0.5232136263941367,0.6098413423636972,0.05091541475026419,0,0.5175374346510359,0.36128712320468226,0.3852314610294737
D00_S0,D00,0.0,D00_S0_C009_T000,D00_S0_C002_T000,D00_S0_C009,D00_S0_C002,vascular,macrophage,other,53.84399115754184,0.08474358313865257,0.554312126246395,0.30237734457511045,0,0.20430876558511235,0.17121855450140805,0.1314011380412563
D00_S0,D00,0.0,D00_S0_C035_T000,D00_S0_C002_T000,D00_S0_C035,D00_S0_C002,tumor,macrophage,tumor_to_macrophage,55.10911763620993,0.4884227173711039,0.554312126246395,0.6649553529388074,1,0.38689496140973667,0.45727993894688923,0.3682966659890661
D00_S0,D00,0.0,D00_S0_C013_T000,D00_S0_C002_T000,D00_S0_C013,D00_S0_C002,t_cell,macrophage,other,213.50239088640637,0.07523780352012577,0.554312126246395,0.02364244005672613,0,0.2999874855851646,0.24097374002720687,0.07050127336575589
D00_S0,D00,0.0,D00_S0_C022_T000,D00_S0_C002_T000,D00_S0_C022,D00_S0_C002,tumor,macrophage,tumor_to_macrophage,291.2185107913774,0.5977650285424967,0.554312126246395,0.031105553093296504,0,0.5896369584268911,0.5297135890015827,0.4581421466445622
D00_S0,D00,0.0,D00_S0_C011_T000,D00_S0_C002_T000,D00_S0_C011,D00_S0_C002,macrophage,macrophage,other,303.10756826226446,0.7734792392721059,0.554312126246395,0.010658298230969329,0,0.3280236935519573,0.30347430869490016,0.7503381101059865
D00_S0,D00,0.0,D00_S0_C001_T000,D00_S0_C003_T000,D00_S0_C001,D00_S0_C003,macrophage,macrophage,other,57.50859754217842,0.7768517321048317,0.7041316400488766,0.5015808612817813,1,0.31482053374069285,0.3407299676860799,0.7537513462359486
D00_S0,D00,0.0,D00_S0_C016_T000,D00_S0_C003_T000,D00_S0_C016,D00_S0_C003,fibroblast,macrophage,other,170.43750184139844,0.5097299979235633,0.7041316400488766,0.08837925323954808,0,0.22494069753495485,0.27402673613133427,0.5415187585667788
D00_S0,D00,0.0,D00_S0_C031_T000,D00_S0_C003_T000,D00_S0_C031,D00_S0_C003,tumor,macrophage,tumor_to_macrophage,203.84656804307204,0.6191797085371126,0.7041316400488766,0.1507049334518501,0,0.6572005756524399,0.49375779797405833,0.4276879101693832
D00_S0,D00,0.0,D00_S0_C033_T000,D00_S0_C003_T000,D00_S0_C033,D00_S0_C003,macrophage,macrophage,other,243.33341155201578,0.7000805082548345,0.7041316400488766,0.03146800832690351,0,0.16517707198379394,0.30300330344850823,0.745931234478889
D00_S0,D00,0.0,D00_S0_C021_T000,D00_S0_C003_T000,D00_S0_C021,D00_S0_C003,macrophage,macrophage,other,288.6986275522409,0.8141041639170989,0.7041316400488766,0.01610710164334088,0,0.4020336051614471,0.332756166377791,0.7786849589955038
D00_S0,D00,0.0,D00_S0_C034_T000,D00_S0_C004_T000,D00_S0_C034,D00_S0_C004,t_cell,tumor,t_cell_to_tumor,178.72337168770144,0.14751546633785684,0.8569191157908521,0.014418942678599066,0,0.40077620548852694,0.34866469547207884,0.15229133253948293
D00_S0,D00,0.0,D00_S0_C011_T000,D00_S0_C004_T000,D00_S0_C011,D00_S0_C004,macrophage,tumor,macrophage_to_tumor,182.64912334922366,0.7734792392721059,0.8569191157908521,0.35308781657115834,0,0.3280236935519573,0.30347430869490016,0.7503381101059865
D00_S0,D00,0.0,D00_S0_C022_T000,D00_S0_C004_T000,D00_S0_C022,D00_S0_C004,tumor,tumor,other,186.79225026909936,0.5977650285424967,0.8569191157908521,0.08225152839832768,0,0.5896369584268911,0.5297135890015827,0.4581421466445622
D00_S0,D00,0.0,D00_S0_C005_T000,D00_S0_C004_T000,D00_S0_C005,D00_S0_C004,tumor,tumor,other,190.95722249564068,0.5476174338188842,0.8569191157908521,0.07277791147658469,0,0.4880402834202853,0.5119972251190229,0.42507913135510833
D00_S0,D00,0.0,D00_S0_C007_T000,D00_S0_C004_T000,D00_S0_C007,D00_S0_C004,macrophage,tumor,macrophage_to_tumor,220.6501916839535,0.7120725451894643,0.8569191157908521,0.20421906312463703,0,0.20400720802203914,0.2810772063181863,0.727046381179476
D00_S0,D00,0.0,D00_S0_C008_T000,D00_S0_C005_T000,D00_S0_C008,D00_S0_C005,tumor,tumor,other,138.12174787085974,0.5324753458808251,0.6368287319850205,0.14477011112339253,0,0.4904716995418199,0.44705232434802467,0.3663243426356909
