row_id,graph_type,source,target,weight
D00_S0_C000_T000,regulatory,XBP1,proteostasis,0.8821192428486554
D00_S0_C000_T000,regulatory,ATF4,stress_adaptation,0.6768439946714957
D00_S0_C000_T000,regulatory,NFkB,inflammation,0.5266946780329695
D00_S0_C001_T000,regulatory,XBP1,proteostasis,0.5936705743082498
D00_S0_C001_T000,regulatory,ATF4,stress_adaptation,0.4488499800485009
D00_S0_C001_T000,regulatory,NFkB,inflammation,0.5309647296212945
D00_S0_C002_T000,regulatory,XBP1,proteostasis,0.44033980539524054
D00_S0_C002_T000,regulatory,ATF4,stress_adaptation,0.33114006750115316
D00_S0_C002_T000,regulatory,NFkB,inflammation,0.4420665511783235
D00_S0_C003_T000,regulatory,XBP1,proteostasis,0.6572274446278951
D00_S0_C003_T000,regulatory,ATF4,stress_adaptation,0.5068113464154206
D00_S0_C003_T000,regulatory,NFkB,inflammation,0.5483615875499107
D00_S0_C004_T000,regulatory,XBP1,proteostasis,0.6078000848846384
D00_S0_C004_T000,regulatory,ATF4,stress_adaptation,0.5148291229139075
D00_S0_C004_T000,regulatory,NFkB,inflammation,0.4325304322511875
D00_S0_C005_T000,regulatory,XBP1,proteostasis,0.474077145449733
D00_S0_C005_T000,regulatory,ATF4,stress_adaptation,0.40575820122638356
D00_S0_C005_T000,regulatory,NFkB,inflammation,0.3621124114266678
D00_S0_C006_T000,regulatory,XBP1,proteostasis,0.2949074189826886
D00_S0_C006_T000,regulatory,ATF4,stress_adaptation,0.25401796884774164
D00_S0_C006_T000,regulatory,NFkB,inflammation,0.3802917723303298
D00_S0_C007_T000,regulatory,XBP1,proteostasis,0.7339958156672014
D00_S0_C007_T000,regulatory,ATF4,stress_adaptation,0.5178987217880887
D00_S0_C007_T000,regulatory,NFkB,inflammation,0.5847643504630572
D00_S0_C008_T000,regulatory,XBP1,proteostasis,0.565793830572144
D00_S0_C008_T000,regulatory,ATF4,stress_adaptation,0.4658603297802576
D00_S0_C008_T000,regulatory,NFkB,inflammation,0.3828207436799566
D00_S0_C009_T000,regulatory,XBP1,proteostasis,0.5389279787189344
D00_S0_C009_T000,regulatory,ATF4,stress_adaptation,0.3911649392843298
D00_S0_C009_T000,regulatory,NFkB,inflammation,0.2885079887379602
D00_S0_C010_T000,regulatory,XBP1,proteostasis,0.7279532209892516
D00_S0_C010_T000,regulatory,ATF4,stress_adaptation,0.5633572329310298
D00_S0_C010_T000,regulatory,NFkB,inflammation,0.4457880338612612
D00_S0_C011_T000,regulatory,XBP1,proteostasis,0.3677457044884211
D00_S0_C011_T000,regulatory,ATF4,stress_adaptation,0.3046394466278652
D00_S0_C011_T000,regulatory,NFkB,inflammation,0.42810390555688477
D00_S0_C012_T000,regulatory,XBP1,proteostasis,0.6265497446558886
D00_S0_C012_T000,regulatory,ATF4,stress_adaptation,0.5207262601294637
D00_S0_C012_T000,regulatory,NFkB,inflammation,0.4429294055682196
D00_S0_C013_T000,regulatory,XBP1,proteostasis,0.47561540287439935
D00_S0_C013_T000,regulatory,ATF4,stress_adaptation,0.3691475089853925
D00_S0_C013_T000,regulatory,NFkB,inflammation,0.23870237697149427
D00_S0_C014_T000,regulatory,XBP1,proteostasis,0.5343296794191996
D00_S0_C014_T000,regulatory,ATF4,stress_adaptation,0.40795681518735094
D00_S0_C014_T000,regulatory,NFkB,inflammation,0.44810769995214805
D00_S0_C015_T000,regulatory,XBP1,proteostasis,0.6841275482687461
D00_S0_C015_T000,regulatory,ATF4,stress_adaptation,0.5708656838006324
D00_S0_C015_T000,regulatory,NFkB,inflammation,0.4697694921177411
D00_S0_C016_T000,regulatory,XBP1,proteostasis,0.27986311179962914
D00_S0_C016_T000,regulatory,ATF4,stress_adaptation,0.22689916217674994
D00_S0_C016_T000,regulatory,NFkB,inflammation,0.31546996580820563
D00_S0_C017_T000,regulatory,XBP1,proteostasis,0.6675797080734927
D00_S0_C017_T000,regulatory,ATF4,stress_adaptation,0.4764106151901517
D00_S0_C017_T000,regulatory,NFkB,inflammation,0.35322595080961683
D00_S0_C018_T000,regulatory,XBP1,proteostasis,0.4627922314716951
D00_S0_C018_T000,regulatory,ATF4,stress_adaptation,0.41377817740499095
D00_S0_C018_T000,regulatory,NFkB,inflammation,0.3506035305893793
D00_S0_C019_T000,regulatory,XBP1,proteostasis,0.6308377256682499
D00_S0_C019_T000,regulatory,ATF4,stress_adaptation,0.5135520086145696
D00_S0_C019_T000,regulatory,NFkB,inflammation,0.41870798791102826
D00_S0_C020_T000,regulatory,XBP1,proteostasis,0.6117600160446817
D00_S0_C020_T000,regulatory,ATF4,stress_adaptation,0.4362044626611939
D00_S0_C020_T000,regulatory,NFkB,inflammation,0.2977701953084041
D00_S0_C021_T000,regulatory,XBP1,proteostasis,0.5955223979171941
D00_S0_C021_T000,regulatory,ATF4,stress_adaptation,0.4674962796784656
D00_S0_C021_T000,regulatory,NFkB,inflammation,0.5405248147111636
D00_S0_C022_T000,regulatory,XBP1,proteostasis,0.5151207096087523
D00_S0_C022_T000,regulatory,ATF4,stress_adaptation,0.4527558529310673
D00_S0_C022_T000,regulatory,NFkB,inflammation,0.39215407064953534
D00_S0_C023_T000,regulatory,XBP1,proteostasis,0.2761089898687028
D00_S0_C023_T000,regulatory,ATF4,stress_adaptation,0.23541924628449765
D00_S0_C023_T000,regulatory,NFkB,inflammation,0.4027961651172919
D00_S0_C024_T000,regulatory,XBP1,proteostasis,0.2218937283088468
D00_S0_C024_T000,regulatory,ATF4,stress_adaptation,0.18728022892149368
D00_S0_C024_T000,regulatory,NFkB,inflammation,0.14352404434063945
D00_S0_C025_T000,regulatory,XBP1,proteostasis,0.5413083762878402
D00_S0_C025_T000,regulatory,ATF4,stress_adaptation,0.4005190147495543
D00_S0_C025_T000,regulatory,NFkB,inflammation,0.2626460580733959
D00_S0_C026_T000,regulatory,XBP1,proteostasis,0.2966664865151653
D00_S0_C026_T000,regulatory,ATF4,stress_adaptation,0.2564046666504748
D00_S0_C026_T000,regulatory,NFkB,inflammation,0.33818500299119825
D00_S0_C027_T000,regulatory,XBP1,proteostasis,0.7173199446283332
