donor_id,section_id,tissue_failure_score,mean_damage,mean_stress,mean_reserve,mean_inflammation,n_cells,tissue_failure,threshold
D00,D00_S0,2.538034696940899,3.0,2.162011236998584,0.02,2.485357752906475,36,0,2.635005548592931
D00,D00_S1,2.5304095237065005,3.0,2.1632383214009834,0.02,2.4455139685711256,36,0,2.635005548592931
D01,D01_S0,2.708644876383969,3.0,2.813028984044143,0.02,2.4269838042580427,36,1,2.635005548592931
D01,D01_S1,2.5630693965649383,3.0,2.3626097220754763,0.02,2.3296933719190243,36,0,2.635005548592931
D02,D02_S0,2.4834796600726627,2.9011827004525115,2.185356862484984,0.02,2.4170602117983093,36,0,2.635005548592931
D02,D02_S1,2.4800367430973194,2.93842087304516,2.113745730699633,0.02,2.4107295971987264,36,0,2.635005548592931
D03,D03_S0,2.6220127059345546,3.0,2.460436040618302,0.02,2.487453072807149,36,0,2.635005548592931
D03,D03_S1,2.6362620617768506,3.0,2.5531047265090057,0.02,2.4289636917716444,36,1,2.635005548592931
D04,D04_S0,2.6660273486414945,3.0,2.6086691022910515,0.02,2.5,36,1,2.635005548592931
D04,D04_S1,2.6567807598838047,3.0,2.5756455710135873,0.02,2.5,36,1,2.635005548592931
D05,D05_S0,2.5792531569528556,3.0,2.3093125578168494,0.02,2.485228203820689,36,0,2.635005548592931
D05,D05_S1,2.5954932363310825,3.0,2.383088631370205,0.02,2.4631420977371263,36,0,2.635005548592931
D06,D06_S0,2.737304935701948,3.0,2.874967164975282,0.02,2.4835706475443455,36,1,2.635005548592931
D06,D06_S1,2.7288220417181046,3.0,2.852375285921557,0.02,2.472784808300342,36,1,2.635005548592931
D07,D07_S0,2.755850059794679,3.0,2.9294644992667096,0.02,2.5,36,1,2.635005548592931
D07,D07_S1,2.766697560708386,3.0,2.9682055739585214,0.02,2.5,36,1,2.635005548592931
D08,D08_S0,2.478429668068408,2.9705759426718443,2.3732997396980955,0.02,1.962146442352279,36,0,2.635005548592931
D08,D08_S1,2.456240817627459,2.9465666799994072,2.3067443629179514,0.02,2.0020019480535853,36,0,2.635005548592931
D09,D09_S0,2.6337490354090116,3.0,2.7770751419634347,0.02,2.102839978296247,36,0,2.635005548592931
D09,D09_S1,2.6898721530666405,3.0,2.7586757661219012,0.02,2.4092146927625415,36,1,2.635005548592931
D10,D10_S0,2.6763294975454004,3.0,2.98714729148268,0.02,2.0216412796512486,36,1,2.635005548592931
D10,D10_S1,2.730612914672575,3.0,2.9708740899690382,0.02,2.315840847406221,36,1,2.635005548592931
D11,D11_S0,2.6784819545981122,3.0,2.8399493638281914,0.02,2.238480663631093,36,1,2.635005548592931
D11,D11_S1,2.5950821096205634,3.0,2.5645155838330904,0.02,2.207088730736489,36,0,2.635005548592931
