sample_accession,perturbation,dose_uM,time_hours_after_exposure,replicate,design_role
GSM198888,cisplatin,25.0,-2.0,1,time_course
GSM198889,cisplatin,25.0,-2.0,2,time_course
GSM198893,cisplatin,25.0,0.0,1,time_course
GSM198894,cisplatin,25.0,0.0,2,time_course
GSM198895,cisplatin,25.0,2.0,1,time_course
GSM198896,cisplatin,25.0,2.0,2,time_course
GSM198897,cisplatin,25.0,6.0,1,time_course
GSM198898,cisplatin,25.0,6.0,2,time_course
GSM198899,cisplatin,25.0,24.0,1,time_course
GSM198891,oxaliplatin,32.0,-2.0,1,time_course
GSM198892,oxaliplatin,32.0,-2.0,2,time_course
GSM198900,oxaliplatin,32.0,0.0,1,time_course
GSM198901,oxaliplatin,32.0,0.0,2,time_course
GSM198902,oxaliplatin,32.0,2.0,1,time_course
GSM198903,oxaliplatin,32.0,2.0,2,time_course
GSM198904,oxaliplatin,32.0,6.0,1,time_course
GSM198905,oxaliplatin,32.0,6.0,2,time_course
GSM198906,oxaliplatin,32.0,24.0,1,time_course
GSM198890,vehicle,0.0,-2.0,1,time_course
GSM198907,vehicle,0.0,0.0,1,time_course
GSM198908,vehicle,0.0,2.0,1,time_course
GSM198909,vehicle,0.0,6.0,1,time_course
GSM198910,vehicle,0.0,16.0,1,time_course
GSM198911,vehicle,0.0,16.0,2,time_course
GSM198912,vehicle,0.0,16.0,3,time_course
GSM198913,vehicle,0.0,16.0,4,time_course
